# tag	commit	released	anchor	commit_subject
v0.13.7	12aa7da6f813e6698d8552a0543ca228add515fa	2016-01-17	date	Edited Issuing Commands file.
v0.13.8	7721bb1a461a06d58c56fc9ff171d3ae4d827831	2016-01-24	date	Fixed all inner links on command pages
v0.13.9	25afaaeb89d05520856c1a9d46661e3b145a2596	2016-01-28	date	js comments
v0.14.0	cffe66d272af612b7dfa54b763170c743e51d161	2016-03-08	date	fix link
v0.14.1	ba37c3a4f430c6706476d0b13e2125c5781b0502	2016-03-13	date	added timeout option to cy.then() doc
v0.14.2	ba37c3a4f430c6706476d0b13e2125c5781b0502	2016-03-14	date	added timeout option to cy.then() doc
v0.14.3	1802227681146bf20384e5608bea5a730c51a09d	2016-03-20	date	fixed broken links on API mainpage.
v0.15.0	2d9451261cff2c3b27271ab7897960e5f5093862	2016-03-28	date	rename directory -> folder
v0.15.1	8ca950ce666e45d9a694e421fad473d6b4ee57a9	2016-04-01	date	Merge branch 'jdm/0.15.1'
v0.15.2	8ca950ce666e45d9a694e421fad473d6b4ee57a9	2016-04-03	date	Merge branch 'jdm/0.15.1'
v0.15.3	cefebc67309dae8fb08baded7d99f6c1cfe47101	2016-04-10	date	updated guides icon to be graduation cap
v0.15.4	ba050897a5b2745371c7e0f2ef29a64667bb298e	2016-04-22	date	typo update
v0.16.0	0b405b8141bd8763f2815f83340799bcf9cec5a1	2016-05-17	date	clarified
v0.16.1	5ac70836f465852fd462193c44cf5f9486991eda	2016-05-22	date	updated invoke example to be a more realistic example.
v0.16.2	1488a71185442ba7508e5ad0a7f919e4237ef917	2016-06-11	date	Revert "update exec docs with shell info"
v0.16.3	0f604ab56e557d5d69384ba2a693d330ea9e33b0	2016-06-17	date	updated indexes
v0.16.4	0f604ab56e557d5d69384ba2a693d330ea9e33b0	2016-06-17	date	updated indexes
v0.16.5	509a4bd86a5cd27c240f76e81c400035e8e0c48f	2016-07-31	date	bump node version
v0.17.0	2c8bae6b6567cc30388a844a9a0eedbf183c8814	2016-08-30	date	updated commandTimeout to defaultCommandTimeout for 0.17.0
v0.17.1	bb164a3116b72b489ff0f958908ef43d2dd93e48	2016-08-31	date	bumped node version
v0.17.2	03b9d7963fff2043c0bb932e2aa21233230854d7	2016-09-06	date	fixed slug in links to readfile / writefile
v0.17.3	3f64a11c881e7778c9499d93952f3ba9641aaa77	2016-09-11	date	add known issue concerning modifier effects
v0.17.4	3f64a11c881e7778c9499d93952f3ba9641aaa77	2016-09-12	date	add known issue concerning modifier effects
v0.17.5	9001f515ddf46427b76b52eaca754c4f54bd96a6	2016-10-02	date	caps
v0.17.6	599e866be45e0acf7d123a6a788393ea78da9d20	2016-10-04	date	formatting, callouts, folder structure
v0.17.7	a2f83fdab3e4185ce62583a3e585324cf6f7597d	2016-10-12	date	content
v0.17.8	2d1787a78d4de1610d4801b68a7f0bbc62afd394	2016-10-13	date	highlight special wording
v0.17.9	2d1787a78d4de1610d4801b68a7f0bbc62afd394	2016-10-22	date	highlight special wording
v0.17.10	bf52dc0ee11ac0899e2dad2d3716a7b82385513c	2016-11-07	date	Updated example of fixture data being edited to be passed to route.
v0.17.11	a2a6b1536b2dbe946c7651b1a3068742c36cdf01	2016-11-16	date	updated link to new section in CI guide
v0.17.12	9c31c3bd940fc5e6443d1e1ca1638fbc24bb0d24	2016-11-21	date	Merge remote-tracking branch 'origin/master'
v0.18.0	9c31c3bd940fc5e6443d1e1ca1638fbc24bb0d24	2016-11-27	date	Merge remote-tracking branch 'origin/master'
v0.18.1	e01c1d32cf5655d5d3e1ce3dfd540f79f036c17f	2016-12-11	date	issue ref, formatting
v0.18.2	b8864312d2b5a83a6ad7a08c74c4718faadfefae	2016-12-15	date	removed section about removing cookies with option that is deprecated.
v0.18.3	b8864312d2b5a83a6ad7a08c74c4718faadfefae	2016-12-18	date	removed section about removing cookies with option that is deprecated.
v0.18.4	267f7fb3e95d8f501f898e6977985127e4909ab4	2016-12-28	date	Merge suggested edits from Bryan Dimas & Tomer Laufer
v0.18.5	267f7fb3e95d8f501f898e6977985127e4909ab4	2017-01-08	date	Merge suggested edits from Bryan Dimas & Tomer Laufer
v0.18.6	e9b1f40e98afd983b954b4f1fbc418fcc5bd843d	2017-01-29	date	reference to 3rd party docker container
v0.18.7	e9b1f40e98afd983b954b4f1fbc418fcc5bd843d	2017-01-30	date	reference to 3rd party docker container
v0.18.8	171dc6e859b2ea8baa9bf340e7ee374a1029ce91	2017-02-05	date	Merge branch 'CYP-457-sinon-integration'
v0.19.0	90dce8fce2cf33f8b49e770e768397e8d4a31025	2017-02-11	date	distinguish dates a bit better
v0.19.1	d9f3aa5bc69efc3f4125d1941b83cc99cf43bb18	2017-03-09	date	improve cy.location docs and usage params
v0.19.2	590035bfe051d1adeb1955d122690289f45cf599	2017-04-16	date	moved image of aliasing routes to a more appropriate section of the docs.
v0.19.3	8f3e47c251a6a41c95c1d3f84344c2e1986111fb	2017-06-14	date	Merge pull request #13 from HugoGiraudel/patch-1
v0.19.4	8f3e47c251a6a41c95c1d3f84344c2e1986111fb	2017-06-18	date	Merge pull request #13 from HugoGiraudel/patch-1
v0.20.0	ebc44355b8835c92096981585bdb61de22ec8668	2017-09-10	changelog	Merge pull request #58 from cypress-io/develop
v0.20.1	c471ec666743818b4089e5a4dc23c5bbb92b6563	2017-09-17	changelog	Merge branch 'develop'
v0.20.2	8c9c89c5f577aa606b1b489e2b7e7612c9cbe164	2017-10-06	changelog	Merge branch 'develop'
v0.20.3	8c9c89c5f577aa606b1b489e2b7e7612c9cbe164	2017-10-06	changelog	Merge branch 'develop'
v1.0.0	93c989f006268564da26b8da52bc114f0c0f4dab	2017-10-09	changelog	Merge branch 'develop'
v1.0.1	a4af8d0dcb2a74b6fdd394629a48487842386b76	2017-10-10	changelog	Merge branch 'develop'
v1.0.2	bccc234ddeca3adb50009c81855e3918e1b0d57f	2017-10-13	changelog	Merge branch 'develop'
v1.0.3	382efda060aeb71c630890928e4ea9ab95fa07dd	2017-10-29	changelog	changelog for 1.0.3
v1.1.0	a69b2a69eddd35ef74b40db217e5522d8d109284	2017-11-19	changelog	Merge branch 'develop'
v1.1.1	02cfbb97150695f621be39afaf26e7305ce6aea5	2017-11-20	changelog	Merge branch 'develop'
v1.1.2	f49228d238432120d792295e279377b225a5bede	2017-11-26	changelog	Merge branch 'develop'
v1.1.3	f4d26067e58fd8fc2325ad16b202511fb4129f62	2017-12-03	changelog	Merge branch 'develop'
v1.1.4	4b362a353f9e55116879657f5feaf0a147b4d8ef	2017-12-06	changelog	Merge branch 'develop'
v1.2.0	7c42ad60aee5a7fa85a1a924a9e40572b1cb2d32	2017-12-14	changelog	Merge branch 'develop'
v1.3.0	ef01f110fb57fb8c19a664bda33c7452a8057794	2017-12-17	changelog	Merge branch 'develop'
v1.4.0	fc4419bb0920d5410ba4603b558152f7867538eb	2017-12-19	changelog	Merge branch 'develop'
v1.4.1	0ba1344e6fbb74b6cc23df154f40259e1394556f	2017-12-26	changelog	Merge branch 'develop'
v1.4.2	f9ca93bb51d521e13ba2cb3e67179c2ab3f71f6a	2018-02-04	changelog	Merge branch 'develop'
v2.0.0	781c65f0171f500285dd86b293c3158ecc6564f3	2018-02-15	changelog	Merge branch 'develop'
v2.0.1	ed56c5ed016b17016cceca587f91678900bf366c	2018-02-16	changelog	Merge branch 'develop'
v2.0.2	9712f426c7295d9c89cddc9f4217a5e99486979d	2018-02-17	changelog	Merge branch 'develop'
v2.0.3	559f969648a5cdc82199487b7aaf5b40ec9c4f34	2018-02-21	changelog	Merge branch 'develop'
v2.0.4	c76638698a9232f908a81d1e66c88efe36e3839c	2018-02-25	changelog	Merge branch 'develop'
v2.1.0	648e6ba1f9c88c63cc8b52131c98f65876ff2af0	2018-03-01	changelog	Merge branch 'develop'
v3.0.0	9aa8660cc6b380541bdc036bd4eae5b97a9cca97	2018-05-29	changelog	Merge branch 'develop'
v3.0.1	be3f611c8e482ed191042d81233c34c0430da6cb	2018-05-30	changelog	Merge branch 'develop'
v3.0.2	5981c11e0b9a6a6961a8f7b7d08af9adb2a771cd	2018-06-28	changelog	Merge branch 'develop'
v3.0.3	cec4b5c192b6ef4dc87d9a427039ebc8ba2bf48f	2018-07-30	changelog	Merge branch 'develop'
v3.1.0	cec4b5c192b6ef4dc87d9a427039ebc8ba2bf48f	2018-08-13	changelog	Merge branch 'develop'
